sample	Species	Year	Origin	Location	Sex	Concentration
FAE_2	L.acutus	2003	Faroe Islands	Hvalvík	Female	70
FAE_609	L.acutus	2003	Faroe Islands	Hvalvík	Male	60
FAE_660	L.acutus	2003	Faroe Islands	Hvalvík	Male	25
FAE_667	L.acutus	2003	Faroe Islands	Hvalvík	Male	30
FAE_668	L.acutus	2003	Faroe Islands	Hvalvík	Female	50
FAE_671	L.acutus	2003	Faroe Islands	Hvalvík	Male	35
FAE_673	L.acutus	2003	Faroe Islands	Hvalvík	Female	25
FAE_394	L.acutus	2003	Faroe Islands	Tórshavn	Male	20
FAE_805	L.acutus	2004	Faroe Islands	Klaksvík	Male	20
FAE_808	L.acutus	2004	Faroe Islands	Klaksvík	Male	30
FAE_825	L.acutus	2004	Faroe Islands	Klaksvík	Male	30
FAE_826	L.acutus	2004	Faroe Islands	Klaksvík	Male	30
FAE_827	L.acutus	2004	Faroe Islands	Klaksvík	Male	45
FAE_828	L.acutus	2004	Faroe Islands	Klaksvík	Male	20
FAE_900	L.acutus	2004	Faroe Islands	Klaksvík	Male	45
FAE_903	L.acutus	2004	Faroe Islands	Klaksvík	Female	25
FAE_924	L.acutus	2004	Faroe Islands	Klaksvík	Female	35
FAE_926	L.acutus	2004	Faroe Islands	Klaksvík	Female	30
FRA_1080	L.acutus	1978	France	Le Conquet	Female	75
GER_6506	L.acutus	2011	Germany	Spitze	Male	20
IRE_116	L.acutus	2008	Ireland	Sligo Bay	Male	50
IRE_11Cork	L.acutus	2002	Ireland	Mullet Peninsula, Co Mayo	Male	30
IRE_124	L.acutus	2008	Ireland	Donegal	Female	40
IRE_1	L.acutus	2007	Ireland	Donegal	Male	25
IRE_25Cork	L.acutus	1999	Ireland	Donegal	Male	60
IRE_300	L.acutus	2011	Ireland	Galway	Male	35
IRE_352	L.acutus	2012	Ireland	Sligo Harbour	Male	40
IRE_72	L.acutus	2005	Ireland	Castlegregory, Kerry	Male	55
IRE_9Cork	L.acutus	2002	Ireland	Mullet Peninsula, Co Mayo	Male	18 and 25*
IRE_93	L.acutus	2011	Ireland	Galway	Male	25
IRE_16Cork	L.acutus	1998	Ireland	Kilmeena, Co Mayo	Male	75
IRE_WSD1_00	L.acutus	2000	Ireland	Doolin, Co Clare	Male	40
SCO_E_M22207	L.acutus	2007	Scotland	Inverness	Male	80
SCO_E_M22611	L.acutus	2011	Scotland	Castlehill, Highlands	Male	19
SCO_E_M5707	L.acutus	2007	Scotland	Fife	Female	55
SCO_SHET_M10506	L.acutus	2006	Scotland	Urafirth , Shetland 	Female	40
SCO_SHET_M15806	L.acutus	2006	Scotland	Dury  Voe , Shetland	Female	50
SCO_SHET_M9201	L.acutus	2001	Scotland	Bressay , Shetland	Male	25
SCO_W_M10007	L.acutus	2007	Scotland	Strachclyde	Male	60
SCO_W_M17107	L.acutus	2007	Scotland	Gillean Bay, Skye	Male	85
SCO_W_M17507	L.acutus	2007	Scotland	Stranraer, Dumfries Galloway	Male	85
SCO_W_M22311	L.acutus	2011	Scotland	North Uist	Male	30
SCO_W_M24411	L.acutus	2011	Scotland	Stornoway	Male	25
DEN_109	L.albirostris	1999	Denmark	Skagen	Female	100
DEN_113	L.albirostris	1999	Denmark	Skallingen	Female	45
DEN_128	L.albirostris	1999	Denmark	Vorupør	Male	60
DEN_24	L.albirostris	1997	Denmark	Skagen	Female	55
DEN_247	L.albirostris	2005	Denmark	Limfjorden, Bouet	Female	80
